,Model,Time Step,Batch Size,Epochs,MSE,R2,MAE,MAPE
102,CNN,2,64,100,0.0174,0.3555,4391.3362,0.0774
103,LSTM,3,32,100,0.0089,0.6734,2852.7522,0.0499
104,Bi-LSTM,3,32,100,0.0075,0.725,2605.1544,0.0475
105,GRU,3,32,100,0.0101,0.6264,3107.2124,0.0573
106,CNN,3,32,100,0.009,0.6677,2872.4324,0.051
107,LSTM,3,64,100,0.0088,0.6762,2824.3199,0.049
108,LSTM,1,32,100,0.0041,0.8484,1829.068,0.0326
109,Bi-LSTM,1,32,100,0.0046,0.8298,1924.5551,0.0339
110,GRU,1,32,100,0.0052,0.8056,2103.6663,0.0364
111,CNN,1,32,100,0.0187,0.3017,4586.8274,0.0811
112,LSTM,1,64,100,0.0038,0.8563,1847.4281,0.0328
113,Bi-LSTM,1,64,100,0.0046,0.8293,1977.3306,0.0343
114,GRU,1,64,100,0.0058,0.7832,2284.4631,0.0391
115,CNN,1,64,100,0.0121,0.5493,3495.2656,0.0615
116,LSTM,2,32,100,0.0112,0.5856,3274.7444,0.0611
117,Bi-LSTM,2,32,100,0.0064,0.764,2431.4707,0.0443
118,GRU,2,32,100,0.0069,0.7445,2470.8024,0.0428
119,CNN,2,32,100,0.0053,0.805,2176.2315,0.0388
120,LSTM,2,64,100,0.0061,0.7734,2308.5514,0.0397
121,Bi-LSTM,2,64,100,0.0053,0.802,2165.8406,0.0384
122,GRU,2,64,100,0.0073,0.7287,2634.1674,0.0484
123,CNN,2,64,100,0.0136,0.4959,3707.7973,0.0663
124,LSTM,3,32,100,0.0091,0.666,2851.9453,0.0526
125,Bi-LSTM,3,32,100,0.0055,0.7986,2153.2981,0.0384
126,GRU,3,32,100,0.0157,0.4197,4047.8487,0.0749
127,CNN,3,32,100,0.011,0.5954,3333.2286,0.058
128,LSTM,3,64,100,0.0118,0.5659,3283.0035,0.0615
129,Bi-LSTM,3,64,100,0.008,0.7053,2609.8869,0.0452
130,GRU,3,64,100,0.0092,0.6619,2940.2931,0.0543
131,CNN,3,64,100,0.0307,-0.1332,6111.669,0.1062
132,LSTM,5,32,50,0.0154,0.4178,3657.4816,0.0688
133,Bi-LSTM,5,32,50,0.0082,0.6883,2637.0961,0.0485
134,GRU,5,32,50,0.0082,0.6886,2771.2746,0.05
135,CNN,5,32,50,0.0341,-0.2919,6472.3494,0.1147
136,LSTM,5,64,50,0.01,0.6196,2884.628,0.054
137,Bi-LSTM,5,64,50,0.0061,0.7698,2183.872,0.0399
138,GRU,5,64,50,0.0097,0.6316,3097.2271,0.0529
139,CNN,5,64,50,0.0309,-0.169,6192.9093,0.109
140,LSTM,5,32,100,0.0099,0.6239,2807.4988,0.0523
141,Bi-LSTM,5,32,100,0.0057,0.7827,2059.6606,0.0375
142,GRU,5,32,100,0.0214,0.1893,4758.9516,0.089
143,CNN,5,32,100,0.0292,-0.1054,5943.7521,0.1045
144,LSTM,5,64,100,0.0108,0.5919,3088.3389,0.057
145,Bi-LSTM,5,64,100,0.0073,0.723,2426.6131,0.0446
146,GRU,5,64,100,0.0101,0.6188,3160.3448,0.0553
147,CNN,5,64,100,0.0254,0.0384,5459.7181,0.0962
148,LSTM Sent,1,32,50,0.0067,0.8516,2461.2996,0.0466
149,Bi-LSTM Sent,1,32,50,0.0084,0.8148,2732.1388,0.051
150,GRU Sent,1,32,50,0.0098,0.7842,2963.6914,0.0546
151,CNN Sent,1,32,50,0.0197,0.5649,4117.5252,0.0741
152,LSTM Sent,1,64,50,0.0076,0.8327,2585.0608,0.0487
153,Bi-LSTM Sent,1,64,50,0.0082,0.8194,2700.424,0.0506
154,GRU Sent,1,64,50,0.009,0.8021,2846.4151,0.0529
155,CNN Sent,1,64,50,0.013,0.7127,3419.3494,0.0625
156,LSTM Sent,2,32,50,0.0072,0.843,2594.2014,0.0498
157,Bi-LSTM Sent,2,32,50,0.012,0.74,3317.2416,0.0612
158,GRU Sent,2,32,50,0.0108,0.7654,3193.0178,0.0591
159,CNN Sent,2,32,50,0.0276,0.4016,5015.6744,0.0889
160,LSTM Sent,2,64,50,0.0081,0.8247,2756.8786,0.0528
161,Bi-LSTM Sent,2,64,50,0.0079,0.8283,2749.3835,0.052
162,GRU Sent,2,64,50,0.0067,0.8541,2483.4704,0.0476
163,CNN Sent,2,64,50,0.031,0.3279,5206.6919,0.0916
164,LSTM Sent,3,32,50,0.0113,0.7565,3315.0856,0.0619
165,Bi-LSTM Sent,3,32,50,0.0101,0.7827,3071.685,0.057
166,GRU Sent,3,32,50,0.008,0.8276,2719.7629,0.0512
167,CNN Sent,3,32,50,0.0257,0.4473,5033.4664,0.0933
168,LSTM Sent,3,64,50,0.0141,0.6962,3710.8486,0.069
169,Bi-LSTM Sent,3,64,50,0.0108,0.7679,3202.5122,0.0596
170,GRU Sent,3,64,50,0.0109,0.7652,3245.3798,0.0604
171,CNN Sent,3,64,50,0.0377,0.1887,6024.6432,0.108
172,LSTM Sent,5,32,50,0.0279,0.4051,5300.2242,0.0955
173,Bi-LSTM Sent,5,32,50,0.0198,0.5766,4461.9164,0.0826
