Model,Time Step,Batch Size,Epochs,MSE,R2,MAE,MAPE
LSTM Sent,3,32,100,0.011733878029886909,0.747270111274561,3379.1199616228064,0.062259836694832406
Bi-LSTM Sent,3,32,100,0.014003397813527696,0.6983881064575017,3555.9967763157892,0.0653360838147677
GRU Sent,3,32,100,0.015112556302460728,0.6744985193343924,3832.365882675438,0.07044590484857931
CNN Sent,3,32,100,0.02143598903093722,0.5383013945849999,4531.782239583333,0.08265609019402115
LSTM Sent,3,64,100,0.013094889659039167,0.7179559905112831,3600.5656249999997,0.06680240555652737
Bi-LSTM Sent,3,64,100,0.011329017521846847,0.7559901909349831,3233.6201726973677,0.06018301548623249
GRU Sent,3,64,100,0.016998125093614688,0.6338862350104268,4124.391894188596,0.07582994056365643
CNN Sent,3,64,100,0.034356590285275164,0.2600112922882687,5821.345748355263,0.1059396165205811
LSTM Sent,5,32,100,0.030372303217931166,0.3519340407608442,5597.601159090908,0.10090579930858248
Bi-LSTM Sent,5,32,100,0.022680793241104804,0.5160508598036195,4758.4735,0.08686530457943704
GRU Sent,5,32,100,0.020566393163431018,0.5611666583889579,4562.033687499999,0.08233991090534686
CNN Sent,5,32,100,0.03252810694788535,0.3059347959172958,5700.907624999998,0.10305938161022228
LSTM Sent,5,64,100,0.013466227226894566,0.7126657335628854,3557.491673295454,0.06519181084127258
Bi-LSTM Sent,5,64,100,0.02386761105383152,0.4907272543224003,4898.835005681818,0.08971881735028424
GRU Sent,5,64,100,0.023334345927634528,0.5021057452145106,4939.563059659091,0.09013548470722074
CNN Sent,5,64,100,0.05690977944314584,-0.21430668396386765,7869.401892045453,0.1439828517780083
LSTM,10,32,50,0.009640591464491808,0.6425980026230513,3084.1283299180336,0.05386369162696905
Bi-LSTM,10,32,50,0.015039683469943613,0.44243950883377947,3905.986542008197,0.07295273017204534
GRU,10,32,50,0.008402638304458119,0.6884921714284369,2675.1713191598365,0.049753002867657464
